Country,Country Classification,Industry,Technology,Dimensions,Customer-Provider,Challenges
Australia,Developed,"Food and beverage manufacturing, Manufacturing Supply chain",Industry 4.0 in general,not mentioned,No,"Lack of collaboration:
""Several respondents (90%) perceived that the lack of SC collaboration is a critical barrier to implement supply chain 4.0. In this view, five respondents, including a food and beverage manufacturer, a farmer, a packaging firm and two retailers lamented that each firm in the SC works for its individual interest and accomplishment of performance objectives. Such fragmentation in SC, where most firms have conflicting goals, could preclude availability of resources and capabilities needed to implement supply chain 4.0.""

Organizational inertia:
""Organisation inertia, such as resistance to change, lack of motivation, skills and strategic commitment, appeared the second critical barrier to implement supply chain 4.0. Four respondents including a manufacturer, a processor and a farmer believed that the underlying reasons for current organisational inertia are fear among the staff about job loss, lack of trust and being connected to old work style."" | Lack of awareness:
""Numerous respondents (80%) indicated the lack of awareness about the exact benefits of digital technologies and thereby unwillingness to take part in supply chain 4.0 initiative. They argued that information on cost vs benefits of new technologies is yet elusive, therefore it is difficult for them to take any risk of huge investment in such technologies. Some respondents were unclear about the data security and safety challenges associated with the implementation of digital technologies."" | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,,No,"Lack of °exible organizational structure (C1)
Insu±cient funds for implementation of Industry4.0 (C2)
Inadequate government support (C3)
Poor IT infrastructure (C4)
Lack of comprehensive broadband connections (C5)
Risk of loss of con¯dential information (C6)
Una®ordable technology (C7)
Lack of awareness of technology (C8)
IT training for employees and owners (C9)
Fear of unemployment (C10)
Increase in mental illness (C11)
Risk in estimating the ¯nancial pro¯t/loss (C12) | nan | nan | nan"
United States,Developed,Manufacturing Industry,Industry 4.0 in general,,No,"Cybersecurity-“the most critical barrier”, ""concern about the possibility of data loss and taking control of the production process as a result of cyber-attacks""​
Low level of automation and robotization
Investment risks in advanced digital technologies: ""high risk of investment in advanced (digital) technologies""
Lack of business models: ""absence of business models for the Industry 4.0 environment""
Low level of employee qualifications: low level of employee qualifications"" | nan | nan | nan"
United States,Developed,Construction,Industry 4.0 in general,,No,"Cost of implementation
Resistance to change
Lack of skilled labor
Unclear benefits and gains
Lack of investment in research and development (R&D)
Fragmented and project-based nature of the industry
Lack of standardization
Data protection and cybersecurity
Legal and contractual issues​
. | nan | nan | nan"
Denmark,Developed,Food and beverage manufacturing,"Condition Monitoring, IOT & Cyber-physical systems",,No,"unclear business case for the technology implementation.
perceived a negative business case due to high cost in Short-term | nan | nan | nan"
India,Developing,Automotive Sector,Industry 4.0 in general,"1. Process Challenges:
2. Human Resource Challenges:
3. Financial Challenges:
4. Collaboration Challenges:
5. Technological Challenges:
6. Security Challenges:
7. Leadership Challenges:",No,"Process Challenges:
Lack of digital standards, norms, and certifications.
Lack of analytical and predictive-driven production thinking.
Setting priority among the objectives is a dilemma attributed to the limited resources.
Lack of lean and flexible communication structure within the organization.
Lack of risk management tools concerning the digital transformation.
Overconfidence, poor procedure enforcement, and lack of control.
Uncertainty, feedback cycles, and dynamics.
Lack of data, hard to collect and analyze, that can be employed to provide better support on maintenance decision-making.
Automation suppliers need to continuously cut down the time it takes to produce models for process simulation and optimization solutions as well as tuning of controllers​
2. Human Resource Challenges:
Lack of digital culture and training.
Insufficient talent.
Difficulty in finding human talent with the capacity to develop analytical algorithms. | Participants lack the ability to acquire the information or the experience from the outside of the firm especially in the early phase of
the implementation
Uncertainties and fears among employees in implementation of digitization
Employees within my organisation lack enough resources and capacities for the digital transformation
Employees within my organisation do not have the appropriate capabilities for the digital transformation
3-Financial challenges
Unclear economic benefits and digital investments
High financial investment requirements
4-Collaboration challenges
Business partners are not able to collaborate around digital solutions
Difficulty to establish a culture of trust with business partners | 5 Technological challenges:
Slow expansion of basic infrastructure technologies
Challenge in transforming current infrastructure
Difficulty in choosing appropriate technologies to align with the business objectives
Existing infrastructure within my organisation to handle the digital transformation
The future automation needs to allow more open interfaces for value-adding components and ideally provide one single data source
that is shared among all players
Voluminous data are captured in different formats; therefore, analytics is required to analyze data and to retrieve information as per
user-readiness
Infrastructure is required to integrate the heterogeneous devices/components in automation systems
Smart devices are required to communicate in Industry 4.0 environment to reduce the human intervention | 6-Security challenges:
Unsolved questions around data security and data privacy in connection with use of external data
Concerns around lack of control over your company’s intellectual property
Industry 4.0 maintains the network across the value chain; therefore, security vulnerability is high in attacking the system
7-Leadership challenges:
Lack of a clear digital operations vision and support
Poor leadership style of top management
Lack of leadership management within organization that can support “creative freedom” for creativity and innovation
Lack of clear digital strategy"
Malaysia,Developing,"Automotive Sector, Chemicals, Construction material, Manufacturing Industry, Medical Manufacturing, Pharmaceuticals, Plastic manufacturing, Various",Industry 4.0 in general,Ecosystem Factors and Challenges,No,"Getting the right people – Difficulty in recruiting skilled personnel to work with new technologies.
Lack of funding – Financial limitations hindering the implementation of Industry 4.0.
Technical challenges – Technical difficulties related to implementing new technologies.
Lack of knowledge – Insufficient knowledge about Industry 4.0 technologies.
Training operators – The need to train operators to handle new technologies.
Changing people’s mindset – Resistance from workers in accepting technological changes, often due to fear of job loss.
Lack of one-stop centre – The absence of centralized services or resources to guide companies through the digital transformation process is a barrier because it makes it more difficult for firms to access all the necessary support in one place.

Lack of info-sharing platforms – The absence of platforms for sharing knowledge and experiences about Industry 4.0 implementation is another challenge, as it limits the ability of firms to learn from each ot | Ecosystem factors – ""Service providers are not fully confident about their solutions. They are not fully equipped and depend on someone else.""
""It would be good if all the services and support can be provided by one agency or one-stop centre so that we can get all the information at one stop."" (p. 459) | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,,No,"1. Lack of understanding and knowledge (C1)
2. Inadequate digital culture (C2)
3. Employee flexibility is required to learn and adapt (C3)
4. Implementation cost (C4)
5. Virtualisation and dynamic Integration (C5)
6. Integration of physical systems with cyber systems
(C6)
7. Lack of proper global standards and reference archi-
tecture (C7)
8. Uniform standards for tools and equipment, systems,
languages, networks, data services and reference archi-
tecture like design and selection (C8)
9. Quick reconfiguration of manufacturing systems,
assembly systems, inspection and material handling sys-
tems (C9)
10. Real-time full data sharing and monitoring among
various units, customers, suppliers, logistics and a few
selected data sharing with other industries (C10)
11. Government policies and support (C11)
12. Data and Information security (C12)
13. Privacy protection (C13)
14. Clearly defined investment returns and economic benefits of digital investment (C14) | 15. Uncertainty in the interests of industry 4.0 (C15)
16. Several complex legal issues (C16)
17. Lack of Integration of technology (C17)
18. Data quality and big data (C18) | nan | nan"
India,Developing,Automotive Sector,,not mentioned,Yes,"Scarcity of dedicated suppliers (F1)
Proper handling of data interfaces (F2)
Lack of understanding of the possible benefits (F3)
Financial constraints (F4)
Concern to data security (F5)
Inadequate top management commitment (F6)
Employees’ lack of training (F7)
Fear of change/resistance (F8)
Constraints of technology (F9) | nan | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,"1-Management and Strategy based barriers (MSBB),
2-Technological barriers (TB),
3-Organizational barriers (OB),
4-Socio-cultural based barriers (SCBB),
5-General hindrance barriers (GHB)",Yes,"B1 High investment and implementation cost
B2 Employee fear and resistance to change
B3 Lack of top management commitment
B4 Unavailability of skilled manpower and need for enhanced skills
B5 Lack of awareness about data collection and analytics
B6 Risk of cyber security and data privacy issues
B7 Government rules and regulation
B8 Lack of data management system
B9 Lack of standards and reference architectures
B10 Lack of IT and organizational infrastructure
B11 Lack of availability of suppliers for embedded systems/devices, sophisticated software and hardware
B12 Low maturity level of preferred technology
B13 Lack of clarity about economic benefits
B14 Lack of leadership, advisory and monitoring
B15 Challenges in value-chain integration
B16 Lack of training and education about LSS in context of I4.0
B17 Lack of integration of Lean Six Sigma with smart tools/I4.0
B18 Lack of proper recognition and rewards for LSS team
B19 Lack of effective communication
B20 Poor supply chain coordinati | nan | nan | nan"
Italy,Developed,Manufacturing Industry,Industry 4.0 in general,not mentioned,Yes,"Worker Resistance:""Challenges related to workers' resistance""
Workplace Ergonomics:ergonomics of the work environment"" considers ""workers' physical, economic, and social well-being"", ""smart glasses causing headaches""
Ethical Concerns:""absence of determination to tackle ethical issues,"",""sociological and ethical matters,"".
Financial Constraints: financial difficulties""
Lack of Knowledge and Awareness:  ""little understanding of Industry 4.0"", ""lack of an attitude toward Industry 4.0"".
Training Needs: ""underestimation of the importance of upskilling and reskilling workers,"".
Human-Technology Balance: right balance between technology and humans, sociology, ethics"" | nan | nan | nan"
Germany,Developed,Pharmaceuticals,Industry 4.0 in general,"16-Poor openness, accessibility, and availability: ""System crash, uncoordinated interaction, errors due to problems in updated data at server, inaccurate data transfer, power failure, may lead to problems related to openness, availability, and accessibility.""

17-Lack of green initiatives: ""Minimum usage of sustainable and renewable material reduces material handling and transportation cost. The industry is responsible for providing waste collection and other processing facilities.""",No,"1-Investment in prototyping collaborative robots: ""It includes investment on prototype robots that can mimic humans and can sense and analyze human intention, pick to light system and human-machine interface.""

2-Infrastructure standardization: ""Infrastructure needed to prepare the firm for automation, and integration of heterogeneous components using the latest technologies.""

3-Collaborative model (application of collaborative robots to R&D task; development of smart and collaborative devices; human-machine safety): ""To ensure safety, direct communication between humans and robots is needed. This will ensure workforce safety while working within a defined workspace.""

4-CPS standards and specification: ""CPS model facilitates interaction between the physical and virtual world (computing components). Validation of such framework is needed to ensure that the manufacturing units/systems are capable of handling the particular needs and specified constraints."" | 5-Semantic interoperability: ""To ensure efficient and effective interaction, accurate data transaction and information exchange among machines as well as between human-machine with a well-defined protocol used.""
6-Automation and digitization of process: ""Intertwining among digital and physical process helps in better inventory management and overall operations. This convergence helps in establishing global networks that integrate warehouse systems, machinery, and manufacturing/production facilities.""
7-Linking virtual reality and reality: ""It is the integration of virtual manufacturing at 3 levels: virtual engineering (VE) processes, VE factories, and VE objects. It is done using specialized CPS. A set of well-defined rules and system intelligence is used to enable the exchange of information between the real and the virtual productions.""
8-Value chain integration’s challenges: ""Resistance across different departments (employees) within the firm and also among various firms in the valu | 9-Change management ineffectiveness and resistance to change: ""Ineffective management of changing processes—executives, employees, value chain members and third-party channel partners. The introduction of advanced technologies, which are way ahead of conventional methods of manufacturing, are resisted by personnel with limited or traditional skill set.""
10-Incorporation of ethics in robots/systems: ""Machine ethics ensures that the behavior of machines toward users (human) is morally acceptable. The need is to build artificial moral agents that can probe deeply and mimic the decision making and nature of human. The challenge is to choose either an 'implicit' or an 'explicit' ethical agent.""
11-Falsified information and lack of information: ""An important tool is used on the internet including social media to boost public health, the risk through excess information exchange; falsified information and lack of information excellence."" | 12-Lack of simple and fair benchmarking: ""The rational and unbiased assessment systems to standardize the performing systems and predict future sustainability challenges.""
13-Lack of standardization, regulations, legalization and forms of certification: ""There is a lack of system-level perspective, international cooperation efforts, set of uniform technical standards, reference architecture model, industrial internet reference architecture.""
14-Increase in chances of error due to complete automation or interaction between human and machine: ""Inappropriate feedback or over-automation; error in correctly realizing/assigning required tasks; or due to dissonance control for human reliability in CPS.""
15-Disproportion between technology development, social evolution: ""The firms are moving to new technology paradigm and progressing towards smart manufacturing but completely/partially ignoring its impact on society and environment."""
Developed Countries,Developed,Manufacturing Industry,Information & Communication Technologies,not mentioned,Yes,"Lack of comprehensive lifecycle management standards:

""There is still a shortage of comprehensive lifecycle management standards and guidance due to the complexity that comes from various types of network architectures."" 
Interoperability challenges in System of Systems (SoS):

""For large SoS (System of Systems), the SOA (Service-Oriented Architecture) approach has been investigated as the architecture that can handle large-scale automation."" 
Integration of modular systems in Industry 4.0:

""The modular approach of Industry 4.0 requires applications to be integrated into industrial systems, e.g., CPSs, as efficiently and quickly as possible."" 
Difficulty managing the complexity of SoS:

""Managing the SoS is a much more complicated task. The lifecycle stages of PLM are relevant for SoS, but the perspective does not entirely align with SoS."" 
Challenges with evolutionary development in SoS:

""The SoS is flexible and modular enough to evolve with functions and purposes added, removed, a | nan | nan | nan"
Germany,Developed,"Forestry and timber industry, Manufacturing Supply chain",Industry 4.0 in general,"Legal Challenges , Social Challenges, Economic Challenges, Operational",No,"""Resistance against standardized working processes mainly originated from the uncertainty about the purpose and use of new processes"" e ""data security needs to be guaranteed""
""costs of technical investment, opportunity costs, operation optimization, and context dependency""
data security
Techinical prerequisite
Accepetance of restruturing
participation of stackholders | nan | nan | nan"
Kazakhstan,Developing,,Industry 4.0 in general,"human resources, Culture ,Technical and Governmental, Financial",Yes,"low I4.0 awareness level among executive management and decision-makers.
should receive proper training and instructions. Otherwise, they might misunderstand the idea or refuse to accept it.
the lack of communication
high bureaucracy level and inflexibility of governmental regulations
no willingness to accept the new trends.
people’s culture:they start sabotaging ideas.
no ﬁnancial opportunities to invest in digitalization.
Consulting companies ask for a big salary.
Not many people realize that digital transformation will pay off in the future
There are no equipment and powerful computers. Therefore, these systems cannot work.
the lack of an integrating framework hinders the application of both technologies effectively and efﬁciently.
The
realities of actual business processes are a bit harsh because of corruption, bureaucracy,
lack of competence.” | nan | nan | nan"
Lithuania,Developed,,Industry 4.0 in general,"external and
internal challenges",No,"External Challenges:
2.1.1. Lack of Standards and Regulations (C1): However, it is believed that there is a
lack of standards and reference architecture due to the novelty of the concept of Industry
4.0 [55,56].
2.1.2. Governmental Support (C2)
2.1.3. Privacy and Security (C3)
2.1.4. Environmental Side Effects (C4)
2.1.5. Lack of Infrastructure (C5)
2.1.6. Legal and Contractual Uncertainty (C6)
2.1.7. Difﬁculty in Coordination and Collaboration (C7)
2.2. Internal Challenges
2.2.1. Lack of a Skilled Workforce (C8)
2.2.2. New Business Models’ Competency (C9)
2.2.3. Resistance to Change (C10)
2.2.4. Managerial Support (C11)
2.2.5. Lack of Awareness of the Advantages of I4.0 (C12)
2.2.6. Data Management (C13)
2.2.7. Cost of Implementation (C14) | nan | nan | nan"
Portugal,Developed,Manufacturing Industry,Industry 4.0 in general,"Economic/financial, Cultural, Skills/resources,  Legal, Technical,  Implementation process",No,"Lack of clarification of economic benefits
Lack of standards (interoperability and compatibility) 
Underdeveloped IT infrastructure
Lack of employees’ skills
Concern with the reliability ofsystems
Need for large investments
Lack of support from top management
Lack of technical knowledge
Demotivation ofworkers
Concern about data security
Need to create new business models
Lack of regulation and procedures | nan | nan | nan"
Poland,Developed,Manufacturing Industry,Industry 4.0 in general,"Scope Gap:, Time Gap, Decision Gap, Budget Gap, Knowledge Gap, Motivation Gap, Cultural Gap:",No,"Scope Gap:
“No progress in digitization due to long project implementation (other projects depend on the implementation of the electronic attendance list)”​
“Adding additional scopes of work to the scope of the electronic attendance list project (the need to build an additional database for collecting power data, building a data exchange bus)”​
“Change of the scope of the attendance list progressing over time (need to integrate with other systems)”
“Most decisions and problems are solved by the project team as they require detailed operational knowledge. On the other hand, the decisions made translate into the company’s overall architecture”

Time Gap:
“Project delays are visible (exceeding several times the projected completion time)”​
“The focus on fast results in all layers of management makes it impossible to cover the entire organization with planning”​ | Budget Gap
“Decisions related to budget expansion are postponed.”
“Adding additional work scopes in the scope of projects causes unforeseen costs.”
Decision Gap
“As part of the project, decisions are made that are beyond its scope and the project manager’s competences.”
“The project manager avoids asking the management board to make decisions because decisions are not made or it takes a long time.”
“The boundary between PoC (Proof of Concept) and the project is blurred, because decisions based on implementation applications are delayed.” | Knowledge Gap
“Project products used by the least qualified personnel, causing numerous operational problems.”
“Small digital competences in the vast majority of operational personnel.”
“Difficulty creating prototypes and drawing conclusions from PoC (Proof of Concept).”
Motivation Gap
“Reluctance to getting involved in digitization projects.”
“Fear and concerns about the use of technology.” | Cultural Gap
“Conflicts due to the clash of the planning and control culture with the new style of collaborative work by project managers.”
“Little permission to make mistakes during prototyping.”
“Conflict between agile management and a traditional approach.”"
England,Developed,Food and beverage manufacturing,"AI, Condition Monitoring, IOT & Cyber-physical systems",not mentioned,No,"Data acquisition and labelling:
""Labelling of data is one of the primary challenges with utilising ML methods within production environments."", ""extremely costly in terms of time and disruptions to production processes.""

Trust in  models
""factory operators and managers may not trust the sensor predictions without understanding how they were reached.""

Technological infrastructure:
""there are challenges in terms of infrastructure and data acquisition,"" ""safe and efficient operation of manufacturing processes""​ | nan | nan | nan"
Developed countries,Developed,Manufacturing Supply chain,,not mentioned,No,"IT/IS-business misalignment,  Poor data quality , Poor external system integration, Budgetary constraints, Lack of top management commitment, Goals conflict / Trust Inversion. | nan | nan | nan"
Germany,Developed,,Industry 4.0 in general,not mentioned,No,"Qualification of staff
High investment
Shortage of staff
Cost-benefit assessment
Legal uncertainties
Missing interfaces in hardware and software
Compliance with data protection
Lack of employee acceptance
Missing standards and norms
insufficient bandwidth
Transparency of the value chain | nan | nan | nan"
Brazil,Developing,"Automotive Sector, Chemicals, Manufacturing Industry, Textile industry, Various",Information & Communication Technologies,"Technological, Organizational, and Environmenta",Yes,"Technological:
Interoperability: Difficulty in integrating systems across different levels (ERP, MES, SCADA, PLC), often with different providers and architectures, complicating system communication.
Cybersecurity: The integration of IT and Automation Technology (AT) increases vulnerability to cyberattacks, making data and process protection a critical challenge.
Technology Expansion: Companies face challenges in adopting systems capable of supporting future growth, with increasing demands for real-time data processing.
Platform Capabilities: Choosing scalable platforms that can support future integration is key to ensuring flexibility and continuity of systems. | Organizational:

Infrastructure Requirements: ""In order to adopt an information system for vertical integration, much equipment, sensors, and a network structure are required to support it"" (p. 16).
Resistance to Change: ""For people that are used to making decisions based on experience, making decisions based on data or technologies is a challenge"" (p. 16).
Readiness and Training: ""We put our MES to run without giving proper training to our employees. Because of this, the company almost stopped. It was chaos!"" (p. 17). | Environmental:

Competitive Pressure: ""To seek competitive advantage in a competitive global market, organizations strive to adopt innovations"" (p. 19).
Benchmarking: ""Benchmarking was a crucial factor since they needed to monitor their competitors to learn about the technologies they are using"" (p. 19).
Supplier Solidity: ""Top managers ask: Is the supplying company solid? Is it global? Can it serve several plants around the world?"" (p. 20). | nan"
Global,Global,"Manufacturing Industry, Manufacturing Supply chain",Industry 4.0 in general,,No,"nao mencionado | 1. Complexity of Implementation
""The most advanced companies have developed 'smart factories' internally, and integrated supply chain/manufacturing ecosystem solutions are still at initial stages of implementation. [...] creates ambiguities due to the absence of agreed upon standards"" (p. 1294).
""With real-time integration of intra-firm and inter-firm operations, the boundaries between firms evaporate as autonomous systems exchange information [...] However, the development of such complex, dynamic, and integrated systems is challenging"" (p. 1293).
2. Knowledge Gaps Among Ecosystem Participants
""As advances in digital technology increase the scale, speed and scope of digital convergence in the network, the knowledge heterogeneity that may exist among the participants need effective maneuvering within the network"" (p. 1304).
""The orchestrator of the ecosystem needs to facilitate knowledge creation, assimilation and integration across time and space"" (p. 1304). | 3. Trust in Platform Ecosystems
""The trustworthiness of the orchestrator, as perceived by other participants, also plays a key role in shaping the functions and boundaries of the platform ecosystem"" (p. 1304).
""How does the perceived trustworthiness of the multinational orchestrator define the scope and boundaries of the platform and the inter-firm protocols within the network?"" (p. 1304).
4. Adapting and Governing Digital Business Models
""Multinationals face the innovation-integration dilemma: they need to balance ownership with control rights and the dynamics of mandates for different players, subsidiaries and extended network participants"" (p. 1306).
""How can the firm choose between maintaining and building upon firm-level capabilities or leverage the capabilities of global partners from platform ecosystems?"" (p. 1306).
5. Standardization and Interoperability
""Some of the key Industry 4.0 research priorities are on standardization and reference architecture related to network, data, | nan"
South Africa,Developing,,Industry 4.0 in general,"Socioeconomic factors,Task environment factors, Infrastructure factors",Yes,"Socioeconomic factors:
Resistance to technology, cultural construct, social structural
inequalities, noticeable youth unemployment, limited access to
information, awareness challenges, I4.0 geared towards
competitiveness, slow pace of adoption.
Task environment factors:
Policy constraints, fragmented task environment, lagging industrial
development, exponential rate of change, inadequate innovation
system, international developments and trends, government support.
Infrastructure factors:
Equipment not supporting I4.0 requirements, inadequate ICT
infrastructure, limited access to I4.0 technologies, limited access to
reliable electricity supply, limited availability of advanced technologies.
Human capital factors:
Critical skills shortage, inadequate alignment between skills
development and skills requirements, skills migration, potential
negative impact on low-skilled and semi-skilled jobs. | nan | nan | nan"
Brazil,Developing,,Industry 4.0 in general,not mentioned,No,"Capacitação e Treinamento dos Funcionários:.Complexidade Técnica e Organizacional,Resistência dos Funcionários,Custos Elevados: | nan | nan | nan"
India,Developing,Manufacturing Industry,Industry 4.0 in general,"Organizational, Technological, Strategic, Legal and Ethical Issues",No,"• Organizational (C1):
Low management support and dedication (F11)
Low knowledge of Industry 4.0 concept (F12)
Financial constraints as High training and consultancy cost (F13)
Poor company’s digital operations, vision, and strategy (F14)
Lack of competency in implementing/applying new industry models regarding organizational and process changes (F15)
Financial constraints as High Implementation Cost (F16)
• Technological (C2):
Seamless integration and compatibility issues between different technologies (F21)
Lack of IT facilities (F22)
Lack of global standards for Industry 4.0 (F23)
Need for enhanced skills for the workforce (F24)
•Strategic (C3)
Lack of governmental support and polices (F31)
Poor research & development on Industry 4.0 adoption (F32)
Unclear economic benefit of Industry 4.0 (F33)
•Legal and Ethical Issues (C4):
Legal issues of industry (F41)
Security and Data privacy issues (F42) | nan | nan | nan"
"Finland, India, China, United States","Developed, Developing",Manufacturing Industry,Augmented & Virtual Reality,,No,"technology is not mature enough to allow smooth integration
-price and needed devices | nan | nan | nan"
Brazil,Developing,,Industry 4.0 in general,Total Productive Maintenance practices,No,"•Lack of support from senior management
• Cost of new ICTs adoption 
• Diversity of machines and systems
• Compatibility between systems
• Technical inexperience
• Ill-structured maintenance processes and activities
•Narrow I4.0 adoption 
• Lack of production involvement
• Difficulty in showing financial payback of I4.0 investments
• Unskilled labor force
• Benefits from I4.0/TPM integration not evident
• Manually operated machines constrain digitization
• Compatibility between systems’ software
• Benefits from I4.0/TPM integration not evident | nan | nan | nan"
Germany,Developed,Textile industry,Industry 4.0 in general,not mentioned,Yes,"Lack of technical expertise:
""Executives lack capacities to even define the next steps and resources required for Industry 4.0, and they can hardly assess the possible impacts of in-house technical changes.""
Financial restrictions:
""Financial restrictions prevent especially SMEs from investing into digital infrastructure.""
Resistance from employees:
""Employees may ‘unlearn’ how to operate or regulate machine processes themselves. And they start feeling unnecessary, develop reluctant attitudes towards their workplace.""
Loss of skilled labor and know-how:
""Decades of public discourse on the dusk of German textiles have created severe image problems... 52 percent of the employees in this sector are at least 50 years old.""
Infrastructure limitations:
""Digital infrastructure, data protection... are not yet sufficiently provided at some German locations.""
Inter-firm distrust:
""Deeply rooted distrust between textile firms, also including machinery producers, obstructs constructive inter-firm | nan | nan | nan"
Iran,Developing,,Industry 4.0 in general,"Conceptual, Executive, Technical, Regulatory",No,"Lack of clear comprehension of I4.0 concepts.
Poor understanding of I4.0 adoption pattern
Meagre digital operations vision and strategy
Lack of appropriate management practices
Lack of competency to adopt/implement new business
models
Financial constraints
Absence of experts in I4.0
Uncertainty in the economic interest of digital investments
Lack of training programs
Reluctant behaviour towards I4.0
Employment disruptions
Lack of digital culture
Poor existing data quality
Problem in integration of technology platforms
Unavailability of universal standards and protocols for data
sharing
Inadequate internet-based networks and digital
infrastructure 
Legal matters
Profiling and complexity concerns
Lack of governmental policies and support 
Problem of coordination and collaboration
Security concerns | nan | nan | nan"
France,Developed,Manufacturing Industry,Augmented & Virtual Reality,,No,"Complexidade do Processo de Autoria de Conteúdo
Desafio: A criação de conteúdo para VR e AR é complexa e demorada, exigindo conhecimentos avançados em TI e expertise em processos industriais.

Trecho do artigo:
""Nevertheless, the authoring and editing process of virtual and augmented content remains time-consuming, especially in complex industrial scenarios.""
(Página 1, Introdução)

2. Dificuldade de Integração com Ferramentas Existentes
Desafio: A falta de interoperabilidade entre ferramentas de VR/AR e outras ferramentas industriais, como CAD e PLM, dificulta a adoção dessas tecnologias.

Trecho do artigo:
""Moreover, as the scenarios and scene states are based on a formalized UML model, external tools, such as Computer-Aided Design (CAD) and Product Lifecycle Management (PLM) tools, based on a specific plugin development, could provide scenarios authoring in an INTERVALES standard.""
(Página 6, Seção 3.1.1)

3. Limitações dos Modelos Existentes
Desafio: Muitos modelos existentes são l | 4. Dificuldade de Representação de Interações Complexas
Desafio: Representar interações complexas, como ações envolvendo múltiplos objetos ou colaboração entre humanos e robôs, é um desafio técnico significativo.

Trecho do artigo:
""However, the limits of this become obvious when multiple-object actions, like assembly operations, are involved. In those cases, each new action should be defined on each existing object according to each new possible combination.""
(Página 3, Seção 2.1.1)

5. Resistência à Adoção de Novas Tecnologias
Desafio: A adoção de tecnologias emergentes como VR e AR em ambientes industriais tradicionais pode enfrentar resistência devido à falta de familiaridade e ao custo de implementação.

Trecho do artigo:
""However, translating this ontology into a VR/AR application can be complicated by its specific data representation that is triplet oriented and not Object Oriented.""
(Página 4, Seção 2.1.2) | 6. Dificuldade de Manutenção e Atualização de Cenários
Desafio: A manutenção e atualização de cenários VR/AR para refletir mudanças nos processos industriais pode ser trabalhosa e exigir conhecimentos técnicos avançados.

Trecho do artigo:
""As the application is based on Entity/Feature, Action/Relation, and Objectives, scenarios are defined in a UML-based language, they can be adapted to fit the industrial process evolution.""
(Página 10, Seção 3.3)

7. Desafios de Usabilidade e Experiência do Usuário
Desafio: A usabilidade e a experiência do usuário são críticas para a adoção de tecnologias VR/AR, especialmente em ambientes industriais onde os operadores podem não ter familiaridade com essas tecnologias.

Trecho do artigo:
""To collect user feedback and evaluate if the INTERVALES framework and its user interface for scenario authoring can be used by IT experts as well as job experts without development skills, we made an experiment with 11 respondents (5 developers and 6 job experts wit | 8. Dificuldade de Implementação de Agentes Autônomos
Desafio: A inclusão de agentes autônomos (como braços robóticos) em ambientes virtuais e aumentados é um desafio técnico significativo.

Trecho do artigo:
""This can also include the possibility of providing more freedom and involvement to users in the scenario by allowing them to make mistakes or attaching consequences to their actions (i.e., the causality principle).""
(Página 2, Seção 2)

9. Desafios de Avaliação de Segurança e Ergonomia
Desafio: A avaliação de segurança e ergonomia em estações de trabalho industriais, especialmente aquelas que envolvem colaboração entre humanos e robôs, é um desafio significativo.

Trecho do artigo:
""During the design and digital prototype review phase, a VR environment is used for the design and ergonomic and safety assessments of the manual and robotic workstations.""
(Página 13, Seção 3.4.1)

10. Dificuldade de Treinamento de Operadores
Desafio: O treinamento de operadores usando VR/AR pode ser d"
Spain,Developed,Manufacturing Industry,"Augmented & Virtual Reality, Cloud & Edge Computing, Condition Monitoring, Human-Machine-Interaction, IOT & Cyber-physical systems, Information & Communication Technologies",,No,"expensive hardware compatibility issues
workers’ skill development
social distancing
older manufacturing systems
lack of experience in new technologies | nan | nan | nan"
Developed countries,Developed,Mineral wool production,Information & Communication Technologies,,Yes,"1. Stakeholder identification
Lack of clarity of the information the PIMS should store
Lack of clarity of who the internal stakeholders are
Lack of clarity of how product information relates to stakeholders
Difficulties in achieving a common understanding of the project of the stakeholders
Difficulties in defining stakeholders’ roles
Difficulties in the organization/planning of the physical kick-off meeting
2. As-is analysis
Too little time to conduct the project 
Same information stored with different identifiers in same or different
systems
Attributes exist multiple times in different languages 
Employees struggled to understand which attributes they had to list as part of the data model
BUs delayed the process because they lacked time to share data 
Not knowing which data to supply
3. To-be proposal
Global markets and local markets had different or even conflicting requirements
Different BUs was in a different position to start the digitalization journey
Deciding if data should be n | Factors influencing the scoping phase of a PIMS:
Data quality, cognitive complexity, timing, and organizational complexity | nan | nan"
